ID;Municipio;SiglaEstado;QtdMasculino;QtdFeminino;QtdTotal;PercentualFeminino;PercentualMasculino
3442;NOVO TRIUNFO;BA;60;42;102;411.764.705.882.352.000;588.235.294.117.647.000
3080;MILH«;CE;73;50;123;406.504.065.040.650.000;593.495.934.959.349.000
2801;LIVRAMENTO;PB;74;50;124;403.225.806.451.612.000;596.774.193.548.387.000
4754;S«O JO«O DO POL“SINE;RS;56;37;93;397.849.462.365.591.000;602.150.537.634.408.000
136;ALTAMIRA DO MARANH«O;MA;70;46;116;396.551.724.137.931.000;603.448.275.862.068.000
3149;MONTANHAS;RN;101;65;166;391.566.265.060.240.000;608.433.734.939.759.000
60;µGUA NOVA;RN;40;25;65;384.615.384.615.384.000;615.384.615.384.615.000
4103;QUEVEDOS;RS;52;32;84;380.952.380.952.380.000;619.047.619.047.619.000
643;BOA SAÈDE;RN;77;47;124;379.032.258.064.516.000;620.967.741.935.483.000
3884;PIRES FERREIRA;CE;71;43;114;377.192.982.456.140.000;622.807.017.543.859.000
4366;SAMPAIO;TO;82;49;131;374.045.801.526.717.000;625.954.198.473.282.000
220;ANANµS;TO;69;41;110;372.727.272.727.272.000;627.272.727.272.727.000
3658;PASSAGEM FRANCA DO PIAU÷;PI;64;38;102;372.549.019.607.843.000;627.450.980.392.156.000
3067;MES‡POLIS;SP;54;32;86;372.093.023.255.813.000;627.906.976.744.186.000
2890;MALTA;PB;61;36;97;371.134.020.618.556.000;628.865.979.381.443.000
5528;VIÄOSA;RN;34;20;54;370.370.370.370.370.000;629.629.629.629.629.000
4077;PUGMIL;TO;58;34;92;369.565.217.391.304.000;630.434.782.608.695.000
565;BATALHA;PI;99;58;157;369.426.751.592.356.000;630.573.248.407.643.000
5002;SENADOR GEORGINO AVELINO;RN;69;40;109;366.972.477.064.220.000;633.027.522.935.779.000
5104;S÷TIO NOVO;RN;69;40;109;366.972.477.064.220.000;633.027.522.935.779.000
4102;QUER“NCIA DO NORTE;PR;116;67;183;366.120.218.579.234.000;633.879.781.420.765.000
3595;PARAIBANO;MA;78;45;123;365.853.658.536.585.000;634.146.341.463.414.000
5128;SUCUPIRA;TO;78;45;123;365.853.658.536.585.000;634.146.341.463.414.000
5117;SOLID«O;PE;47;27;74;364.864.864.864.864.000;635.135.135.135.135.000
1848;FORTUNA;MA;68;39;107;364.485.981.308.411.000;635.514.018.691.588.000
364;ARCO-÷RIS;SP;98;56;154;363.636.363.636.363.000;636.363.636.363.636.000
3505;OURO VELHO;PB;56;32;88;363.636.363.636.363.000;636.363.636.363.636.000
3063;MERCEDES;PR;63;36;99;363.636.363.636.363.000;636.363.636.363.636.000
1450;COXILHA;RS;62;35;97;360.824.742.268.041.000;639.175.257.731.958.000
3356;NOVA ITARANA;BA;78;44;122;360.655.737.704.918.000;639.344.262.295.081.000
1967;GRAÄA ARANHA;MA;57;32;89;359.550.561.797.752.000;640.449.438.202.247.000
3352;NOVA INDEPEND“NCIA;SP;107;60;167;359.281.437.125.748.000;640.718.562.874.251.000
3028;MATO GROSSO;PB;43;24;67;358.208.955.223.880.000;641.791.044.776.119.000
189;AMAPµ DO MARANH«O;MA;129;72;201;358.208.955.223.880.000;641.791.044.776.119.000
2438;ITAUBAL;AP;131;73;204;357.843.137.254.901.000;642.156.862.745.098.000
734;BORBOREMA;PB;79;44;123;357.723.577.235.772.000;642.276.422.764.227.000
2819;LUCRêCIA;RN;36;20;56;357.142.857.142.857.000;642.857.142.857.142.000
1321;COL‚NIA DO GURGUêIA;PI;83;46;129;356.589.147.286.821.000;643.410.852.713.178.000
3548;PALMARES PAULISTA;SP;105;58;163;355.828.220.858.895.000;644.171.779.141.104.000
4052;PRESIDENTE LUCENA;RS;58;32;90;355.555.555.555.555.000;644.444.444.444.444.000
127;ALMIRANTE TAMANDARê DO SUL;RS;60;33;93;354.838.709.677.419.000;645.161.290.322.580.000
488;BANDEIRANTES DO TOCANTINS;TO;80;44;124;354.838.709.677.419.000;645.161.290.322.580.000
2724;LAGOA SANTA;GO;51;28;79;354.430.379.746.835.000;645.569.620.253.164.000
334;ARAPOEMA;TO;115;63;178;353.932.584.269.662.000;646.067.415.730.337.000
819;BURITIZAL;SP;106;58;164;353.658.536.585.365.000;646.341.463.414.634.000
3372;NOVA OLINDA;CE;53;29;82;353.658.536.585.365.000;646.341.463.414.634.000
2730;LAGOINHA DO PIAU÷;PI;64;35;99;353.535.353.535.353.000;646.464.646.464.646.000
1323;COL‚NIA LEOPOLDINA;AL;99;54;153;352.941.176.470.588.000;647.058.823.529.411.000
5149;TABOLEIRO GRANDE;RN;44;24;68;352.941.176.470.588.000;647.058.823.529.411.000
3676;PATU;RN;68;37;105;352.380.952.380.952.000;647.619.047.619.047.000
2601;JO«O ALFREDO;PE;116;63;179;351.955.307.262.569.000;648.044.692.737.430.000
4890;S«O PEDRO DA µGUA BRANCA;MA;105;57;162;351.851.851.851.851.000;648.148.148.148.148.000
556;BARRO PRETO;BA;104;56;160;350.000.000.000.000.000;650.000.000.000.000.000
1569;DILERMANDO DE AGUIAR;RS;80;43;123;349.593.495.934.959.000;650.406.504.065.040.000
2794;LINDOESTE;PR;82;44;126;349.206.349.206.349.000;650.793.650.793.650.000
2776;LENÄ‡IS;BA;125;67;192;348.958.333.333.333.000;651.041.666.666.666.000
1929;GODOFREDO VIANA;MA;142;76;218;348.623.853.211.009.000;651.376.146.788.990.000
464;BAIXIO;CE;71;38;109;348.623.853.211.009.000;651.376.146.788.990.000
2832;LUPêRCIO;SP;114;61;175;348.571.428.571.428.000;651.428.571.428.571.000
2617;JOCA CLAUDINO;PB;43;23;66;348.484.848.484.848.000;651.515.151.515.151.000
3457;OLHO D'µGUA DO BORGES;RN;43;23;66;348.484.848.484.848.000;651.515.151.515.151.000
2263;IPUEIRA;RN;58;31;89;348.314.606.741.573.000;651.685.393.258.426.000
121;ALMADINA;BA;88;47;135;348.148.148.148.148.000;651.851.851.851.851.000
4078;PUREZA;RN;103;55;158;348.101.265.822.784.000;651.898.734.177.215.000
1600;DOM AQUINO;MT;118;63;181;348.066.298.342.541.000;651.933.701.657.458.000
5124;SOSS“GO;PB;60;32;92;347.826.086.956.521.000;652.173.913.043.478.000
4788;S«O JOSê DE MIPIBU;RN;137;73;210;347.619.047.619.047.000;652.380.952.380.952.000
1421;CORONEL XAVIER CHAVES;MG;92;49;141;347.517.730.496.453.000;652.482.269.503.546.000
3373;NOVA OLINDA;PB;47;25;72;347.222.222.222.222.000;652.777.777.777.777.000
3374;NOVA OLINDA;TO;94;50;144;347.222.222.222.222.000;652.777.777.777.777.000
3699;PAULO JACINTO;AL;111;59;170;347.058.823.529.411.000;652.941.176.470.588.000
2700;LAGOA D'ANTA;RN;64;34;98;346.938.775.510.204.000;653.061.224.489.795.000
110;ALEXANDRIA;RN;64;34;98;346.938.775.510.204.000;653.061.224.489.795.000
522;BARRA DO CHAPêU;SP;96;51;147;346.938.775.510.204.000;653.061.224.489.795.000
303;ARACI;BA;226;120;346;346.820.809.248.554.000;653.179.190.751.445.000
3715;PEDRA BRANCA DO AMAPARI;AP;130;69;199;346.733.668.341.708.000;653.266.331.658.291.000
446;AXIXµ;MA;151;80;231;346.320.346.320.346.000;653.679.653.679.653.000
5426;URBANO SANTOS;MA;153;81;234;346.153.846.153.846.000;653.846.153.846.153.000
1884;GABRIEL MONTEIRO;SP;70;37;107;345.794.392.523.364.000;654.205.607.476.635.000
663;BOCAINA DO SUL;SC;106;56;162;345.679.012.345.679.000;654.320.987.654.320.000
1497;CRUZMALTINA;PR;72;38;110;345.454.545.454.545.000;654.545.454.545.454.000
2865;MADRE DE DEUS;BA;203;107;310;345.161.290.322.580.000;654.838.709.677.419.000
1459;CRIS‡LITA;MG;114;60;174;344.827.586.206.896.000;655.172.413.793.103.000
4086;QUATIGUµ;PR;116;61;177;344.632.768.361.581.000;655.367.231.638.418.000
1664;EMAS;PB;59;31;90;344.444.444.444.444.000;655.555.555.555.555.000
4648;S«O DOMINGOS DE POMBAL;PB;40;21;61;344.262.295.081.967.000;655.737.704.918.032.000
4020;PRACUÈBA;AP;126;66;192;343.750.000.000.000.000;656.250.000.000.000.000
2405;ITAPOR« DO TOCANTINS;TO;42;22;64;343.750.000.000.000.000;656.250.000.000.000.000
4854;S«O MARCOS;RS;130;68;198;343.434.343.434.343.000;656.565.656.565.656.000
2844;MAÄAMBARµ;RS;44;23;67;343.283.582.089.552.000;656.716.417.910.447.000
4867;S«O MIGUEL DE TAIPU;PB;88;46;134;343.283.582.089.552.000;656.716.417.910.447.000
2475;IVOTI;RS;111;58;169;343.195.266.272.189.000;656.804.733.727.810.000
767;BRAZ‡POLIS;MG;178;93;271;343.173.431.734.317.000;656.826.568.265.682.000
4091;QUATRO PONTES;PR;67;35;102;343.137.254.901.960.000;656.862.745.098.039.000
5125;SOURE;PA;232;121;353;342.776.203.966.005.000;657.223.796.033.994.000
3364;NOVA MARINGµ;MT;119;62;181;342.541.436.464.088.000;657.458.563.535.911.000
3024;MATINHAS;PB;75;39;114;342.105.263.157.894.000;657.894.736.842.105.000
531;BARRA DO QUARA÷;RS;75;39;114;342.105.263.157.894.000;657.894.736.842.105.000
3285;NINA RODRIGUES;MA;77;40;117;341.880.341.880.341.000;658.119.658.119.658.000
4382;SANTA BµRBARA DO SUL;RS;77;40;117;341.880.341.880.341.000;658.119.658.119.658.000
1643;DUAS ESTRADAS;PB;52;27;79;341.772.151.898.734.000;658.227.848.101.265.000
4235;RIO DO FOGO;RN;110;57;167;341.317.365.269.461.000;658.682.634.730.538.000
1170;CASEARA;TO;116;60;176;340.909.090.909.090.000;659.090.909.090.909.000
4790;S«O JOSê DE PRINCESA;PB;58;30;88;340.909.090.909.090.000;659.090.909.090.909.000
4048;PRESIDENTE JUSCELINO;MA;153;79;232;340.517.241.379.310.000;659.482.758.620.689.000
3227;MUITOS CAPÂES;RS;62;32;94;340.425.531.914.893.000;659.574.468.085.106.000
3297;NOSSA SENHORA APARECIDA;SE;64;33;97;340.206.185.567.010.000;659.793.814.432.989.000
1551;DEPUTADO IRAPUAN PINHEIRO;CE;64;33;97;340.206.185.567.010.000;659.793.814.432.989.000
2082;HULHA NEGRA;RS;128;66;194;340.206.185.567.010.000;659.793.814.432.989.000
4977;SATUBINHA;MA;64;33;97;340.206.185.567.010.000;659.793.814.432.989.000
1351;CONCEIÄ«O DO RIO VERDE;MG;260;134;394;340.101.522.842.639.000;659.898.477.157.360.000
4188;RIBEIRA DO PIAU÷;PI;66;34;100;340.000.000.000.000.000;660.000.000.000.000.000
1335;CONCEIÄ«O DA BARRA;ES;272;140;412;339.805.825.242.718.000;660.194.174.757.281.000
5120;SONORA;MS;136;70;206;339.805.825.242.718.000;660.194.174.757.281.000
4872;S«O MIGUEL DO GOSTOSO;RN;68;35;103;339.805.825.242.718.000;660.194.174.757.281.000
1729;ESTRELA DALVA;MG;70;36;106;339.622.641.509.433.000;660.377.358.490.566.000
3085;MINADOR DO NEGR«O;AL;70;36;106;339.622.641.509.433.000;660.377.358.490.566.000
349;ARARICµ;RS;142;73;215;339.534.883.720.930.000;660.465.116.279.069.000
3563;PALMEIRAS DO TOCANTINS;TO;109;56;165;339.393.939.393.939.000;660.606.060.606.060.000
3290;N÷SIA FLORESTA;RN;146;75;221;339.366.515.837.104.000;660.633.484.162.895.000
1925;GL‡RIA DE DOURADOS;MS;154;79;233;339.055.793.991.416.000;660.944.206.008.583.000
10;ABEL FIGUEIREDO;PA;117;60;177;338.983.050.847.457.000;661.016.949.152.542.000
2882;MAJOR SALES;RN;39;20;59;338.983.050.847.457.000;661.016.949.152.542.000
3537;PALESTINA;AL;80;41;121;338.842.975.206.611.000;661.157.024.793.388.000
1372;CONQUISTA;MG;123;63;186;338.709.677.419.354.000;661.290.322.580.645.000
5400;UIRAÈNA;PB;82;42;124;338.709.677.419.354.000;661.290.322.580.645.000
2740;LAJED«O;BA;125;64;189;338.624.338.624.338.000;661.375.661.375.661.000
1727;ESTREITO;MA;211;108;319;338.557.993.730.407.000;661.442.006.269.592.000
4569;SANTO ANT‚NIO DA ALEGRIA;SP;170;87;257;338.521.400.778.210.000;661.478.599.221.789.000
755;BRASIL∂NDIA;MS;90;46;136;338.235.294.117.647.000;661.764.705.882.352.000
3964;PORT«O;RS;184;94;278;338.129.496.402.877.000;661.870.503.597.122.000
3780;PEROL∂NDIA;GO;94;48;142;338.028.169.014.084.000;661.971.830.985.915.000
2021;GUARA÷;TO;143;73;216;337.962.962.962.962.000;662.037.037.037.037.000
5155;TACIMA;PB;49;25;74;337.837.837.837.837.000;662.162.162.162.162.000
4820;S«O JOSê DO SABUGI;PB;51;26;77;337.662.337.662.337.000;662.337.662.337.662.000
5364;TUPI PAULISTA;SP;104;53;157;337.579.617.834.394.000;662.420.382.165.605.000
3400;NOVA TIMBOTEUA;PA;157;80;237;337.552.742.616.033.000;662.447.257.383.966.000
2327;ITAGUATINS;TO;106;54;160;337.500.000.000.000.000;662.500.000.000.000.000
4520;SANTA TEREZINHA DO TOCANTINS;TO;61;31;92;336.956.521.739.130.000;663.043.478.260.869.000
4796;S«O JOSê DO BONFIM;PB;63;32;95;336.842.105.263.157.000;663.157.894.736.842.000
3169;MONTE DAS GAMELEIRAS;RN;65;33;98;336.734.693.877.551.000;663.265.306.122.448.000
1267;CHAVAL;CE;65;33;98;336.734.693.877.551.000;663.265.306.122.448.000
145;ALTO ALEGRE DO MARANH«O;MA;132;67;199;336.683.417.085.427.000;663.316.582.914.572.000
3103;MIRA÷MA;CE;67;34;101;336.633.663.366.336.000;663.366.336.633.663.000
3660;PASSO DE CAMARAGIBE;AL;142;72;214;336.448.598.130.841.000;663.551.401.869.158.000
4472;SANTA MARIA DO SUAÄU÷;MG;144;73;217;336.405.529.953.917.000;663.594.470.046.082.000
474;BALNEµRIO PINHAL;RS;158;80;238;336.134.453.781.512.000;663.865.546.218.487.000
771;BREJINHO;RN;79;40;119;336.134.453.781.512.000;663.865.546.218.487.000
3428;NOVO JARDIM;TO;83;42;125;336.000.000.000.000.000;664.000.000.000.000.000
5504;VERA CRUZ;RN;83;42;125;336.000.000.000.000.000;664.000.000.000.000.000
242;ANGICAL DO PIAU÷;PI;85;43;128;335.937.500.000.000.000;664.062.500.000.000.000
4545;SANTANA DO MUNDAÈ;AL;87;44;131;335.877.862.595.419.000;664.122.137.404.580.000
159;ALTO PARA÷SO;PR;91;46;137;335.766.423.357.664.000;664.233.576.642.335.000
5389;UBAT«;BA;182;92;274;335.766.423.357.664.000;664.233.576.642.335.000
1021;CANDEIAS;BA;457;231;688;335.755.813.953.488.000;664.244.186.046.511.000
4879;S«O MIGUEL DO TOCANTINS;TO;99;50;149;335.570.469.798.657.000;664.429.530.201.342.000
404;ARUAN«;GO;107;54;161;335.403.726.708.074.000;664.596.273.291.925.000
329;ARAMINA;SP;115;58;173;335.260.115.606.936.000;664.739.884.393.063.000
5401;ULIAN‡POLIS;PA;129;65;194;335.051.546.391.752.000;664.948.453.608.247.000
2402;ITAPOµ;SC;201;101;302;334.437.086.092.715.000;665.562.913.907.284.000
2437;ITAÈBA;MT;152;76;228;333.333.333.333.333.000;666.666.666.666.666.000
2798;LINHA NOVA;RS;48;24;72;333.333.333.333.333.000;666.666.666.666.666.000
2679;JUTI;MS;64;32;96;333.333.333.333.333.000;666.666.666.666.666.000
2888;MALHADOR;SE;78;39;117;333.333.333.333.333.000;666.666.666.666.666.000
3196;MORPARµ;BA;72;36;108;333.333.333.333.333.000;666.666.666.666.666.000
3426;NOVO HORIZONTE DO SUL;MS;102;51;153;333.333.333.333.333.000;666.666.666.666.666.000
4562;SANTO AMARO DAS BROTAS;SE;214;107;321;333.333.333.333.333.000;666.666.666.666.666.000
4009;POTENGI;CE;76;38;114;333.333.333.333.333.000;666.666.666.666.666.000
4121;RAFAEL FERNANDES;RN;58;29;87;333.333.333.333.333.000;666.666.666.666.666.000
3934;PONTA DE PEDRAS;PA;194;97;291;333.333.333.333.333.000;666.666.666.666.666.000
42;AGRICOL∂NDIA;PI;58;29;87;333.333.333.333.333.000;666.666.666.666.666.000
912;CALDAS BRAND«O;PB;86;43;129;333.333.333.333.333.000;666.666.666.666.666.000
619;BERTOL÷NIA;PI;68;34;102;333.333.333.333.333.000;666.666.666.666.666.000
603;BENEDITO LEITE;MA;64;32;96;333.333.333.333.333.000;666.666.666.666.666.000
1218;CEDRAL;SP;112;56;168;333.333.333.333.333.000;666.666.666.666.666.000
1157;CARRAPATEIRA;PB;48;24;72;333.333.333.333.333.000;666.666.666.666.666.000
1193;CATAS ALTAS;MG;166;83;249;333.333.333.333.333.000;666.666.666.666.666.000
1373;CONQUISTA D'OESTE;MT;120;60;180;333.333.333.333.333.000;666.666.666.666.666.000
1390;CORDEIR‡POLIS;SP;242;121;363;333.333.333.333.333.000;666.666.666.666.666.000
1302;COCOS;BA;102;51;153;333.333.333.333.333.000;666.666.666.666.666.000
1654;ELDORADO;MS;160;80;240;333.333.333.333.333.000;666.666.666.666.666.000
1676;ENGENHEIRO CALDAS;MG;94;47;141;333.333.333.333.333.000;666.666.666.666.666.000
1736;ESTRELA VELHA;RS;58;29;87;333.333.333.333.333.000;666.666.666.666.666.000
5232;TENENTE ANANIAS;RN;70;35;105;333.333.333.333.333.000;666.666.666.666.666.000
5265;TIET“;SP;278;139;417;333.333.333.333.333.000;666.666.666.666.666.000
5486;VµRZEA DO POÄO;BA;76;38;114;333.333.333.333.333.000;666.666.666.666.666.000
4861;S«O MIGUEL;RN;86;43;129;333.333.333.333.333.000;666.666.666.666.666.000
4650;S«O DOMINGOS DO AZEIT«O;MA;80;40;120;333.333.333.333.333.000;666.666.666.666.666.000
4729;S«O JO«O DA VARJOTA;PI;46;23;69;333.333.333.333.333.000;666.666.666.666.666.000
5053;SERRAN‡POLIS DO IGUAÄU;PR;68;34;102;333.333.333.333.333.000;666.666.666.666.666.000
2272;IRACEMµPOLIS;SP;231;115;346;332.369.942.196.531.000;667.630.057.803.468.000
1284;CIDREIRA;RS;201;100;301;332.225.913.621.262.000;667.774.086.378.737.000
3937;PONTAL;SP;318;158;476;331.932.773.109.243.000;668.067.226.890.756.000
3151;MONTE ALEGRE;RN;125;62;187;331.550.802.139.037.000;668.449.197.860.962.000
2611;JO«O RAMALHO;SP;125;62;187;331.550.802.139.037.000;668.449.197.860.962.000
1251;CHµCARA;MG;121;60;181;331.491.712.707.182.000;668.508.287.292.817.000
5072;SETE QUEDAS;MS;119;59;178;331.460.674.157.303.000;668.539.325.842.696.000
1921;GIRUµ;RS;109;54;163;331.288.343.558.282.000;668.711.656.441.717.000
2875;MAIQUINIQUE;BA;109;54;163;331.288.343.558.282.000;668.711.656.441.717.000
1160;CARUTAPERA;MA;99;49;148;331.081.081.081.081.000;668.918.918.918.918.000
4490;SANTA RITA DO PARDO;MS;97;48;145;331.034.482.758.620.000;668.965.517.241.379.000
4424;SANTA FILOMENA;PE;95;47;142;330.985.915.492.957.000;669.014.084.507.042.000
1038;CANHOBA;SE;93;46;139;330.935.251.798.561.000;669.064.748.201.438.000
1478;CROATµ;CE;89;44;133;330.827.067.669.172.000;669.172.932.330.827.000
5406;UMBURATIBA;MG;87;43;130;330.769.230.769.230.000;669.230.769.230.769.000
3309;NOVA ALVORADA DO SUL;MS;170;84;254;330.708.661.417.322.000;669.291.338.582.677.000
3244;MURICI DOS PORTELAS;PI;83;41;124;330.645.161.290.322.000;669.354.838.709.677.000
1046;CANTµ;RR;247;122;369;330.623.306.233.062.000;669.376.693.766.937.000
5314;TR“S BARRAS;SC;243;120;363;330.578.512.396.694.000;669.421.487.603.305.000
301;ARACATU;BA;75;37;112;330.357.142.857.142.000;669.642.857.142.857.000
520;BARRA DE S«O MIGUEL;AL;144;71;215;330.232.558.139.534.000;669.767.441.860.465.000
1089;CAPIVARI DO SUL;RS;71;35;106;330.188.679.245.283.000;669.811.320.754.716.000
1726;ESTIVA GERBI;SP;213;105;318;330.188.679.245.283.000;669.811.320.754.716.000
2886;MALHADA DE PEDRAS;BA;71;35;106;330.188.679.245.283.000;669.811.320.754.716.000
2570;JATOBµ;MA;69;34;103;330.097.087.378.640.000;669.902.912.621.359.000
2289;IRINE‡POLIS;SC;138;68;206;330.097.087.378.640.000;669.902.912.621.359.000
856;CACHOEIRA DOURADA;GO;136;67;203;330.049.261.083.743.000;669.950.738.916.256.000
3213;MORTUGABA;BA;67;33;100;330.000.000.000.000.000;670.000.000.000.000.000
425;ATIBAIA;SP;522;257;779;329.910.141.206.675.000;670.089.858.793.324.000
2236;IPAUMIRIM;CE;65;32;97;329.896.907.216.494.000;670.103.092.783.505.000
3127;MOGEIRO;PB;130;64;194;329.896.907.216.494.000;670.103.092.783.505.000
5430;URUANA DE MINAS;MG;130;64;194;329.896.907.216.494.000;670.103.092.783.505.000
431;µUREA;RS;63;31;94;329.787.234.042.553.000;670.212.765.957.446.000
4792;S«O JOSê DE UBµ;RJ;187;92;279;329.749.103.942.652.000;670.250.896.057.347.000
500;BARAÈNA;RN;185;91;276;329.710.144.927.536.000;670.289.855.072.463.000
3958;PORANGA;CE;61;30;91;329.670.329.670.329.000;670.329.670.329.670.000
111;ALEX∂NIA;GO;283;139;422;329.383.886.255.924.000;670.616.113.744.075.000
1526;CURRALINHO;PA;283;139;422;329.383.886.255.924.000;670.616.113.744.075.000
1907;GAVI«O PEIXOTO;SP;167;82;249;329.317.269.076.305.000;670.682.730.923.694.000
4320;RUR‡POLIS;PA;222;109;331;329.305.135.951.661.000;670.694.864.048.338.000
5111;SOCORRO;SP;165;81;246;329.268.292.682.926.000;670.731.707.317.073.000
579;BELA VISTA DO MARANH«O;MA;108;53;161;329.192.546.583.850.000;670.807.453.416.149.000
4266;RIO PRETO DA EVA;AM;261;128;389;329.048.843.187.660.000;670.951.156.812.339.000
4421;SANTA Fê DO ARAGUAIA;TO;102;50;152;328.947.368.421.052.000;671.052.631.578.947.000
5151;TABULEIRO DO NORTE;CE;102;50;152;328.947.368.421.052.000;671.052.631.578.947.000
327;ARAMBARê;RS;100;49;149;328.859.060.402.684.000;671.140.939.597.315.000
5559;VIRMOND;PR;100;49;149;328.859.060.402.684.000;671.140.939.597.315.000
4221;RIO BRILHANTE;MS;198;97;295;328.813.559.322.033.000;671.186.440.677.966.000
1363;CONDOR;RS;49;24;73;328.767.123.287.671.000;671.232.876.712.328.000
4735;S«O JO«O DE PIRABAS;PA;284;139;423;328.605.200.945.626.000;671.394.799.054.373.000
1516;CURION‡POLIS;PA;188;92;280;328.571.428.571.428.000;671.428.571.428.571.000
3104;MIRANDA;MS;233;114;347;328.530.259.365.994.000;671.469.740.634.005.000
1568;DIAS D'µVILA;BA;323;158;481;328.482.328.482.328.000;671.517.671.517.671.000
3742;PEDRO DO ROSµRIO;MA;184;90;274;328.467.153.284.671.000;671.532.846.715.328.000
5425;UR∂NIA;SP;137;67;204;328.431.372.549.019.000;671.568.627.450.980.000
1781;FELIZ NATAL;MT;90;44;134;328.358.208.955.223.000;671.641.791.044.776.000
4092;QUEBRANGULO;AL;133;65;198;328.282.828.282.828.000;671.717.171.717.171.000
3047;MAURIL∂NDIA;GO;131;64;195;328.205.128.205.128.000;671.794.871.794.871.000
1330;COMENDADOR LEVY GASPARIAN;RJ;217;106;323;328.173.374.613.003.000;671.826.625.386.996.000
3844;PINTO BANDEIRA;RS;43;21;64;328.125.000.000.000.000;671.875.000.000.000.000
3850;PIQUETE;SP;336;164;500;328.000.000.000.000.000;672.000.000.000.000.000
92;ALAGOINHA;PB;84;41;125;328.000.000.000.000.000;672.000.000.000.000.000
5220;TAVARES;PB;84;41;125;328.000.000.000.000.000;672.000.000.000.000.000
3790;PIAÄABUÄU;AL;123;60;183;327.868.852.459.016.000;672.131.147.540.983.000
3907;PLANALTO DA SERRA;MT;82;40;122;327.868.852.459.016.000;672.131.147.540.983.000
3361;NOVA LUZIT∂NIA;SP;123;60;183;327.868.852.459.016.000;672.131.147.540.983.000
2757;LARANJAL DO JARI;AP;287;140;427;327.868.852.459.016.000;672.131.147.540.983.000
4957;S«O VICENTE FERRER;MA;164;80;244;327.868.852.459.016.000;672.131.147.540.983.000
337;ARAPOR«;MG;162;79;241;327.800.829.875.518.000;672.199.170.124.481.000
1847;FORTIM;CE;80;39;119;327.731.092.436.974.000;672.268.907.563.025.000
2708;LAGOA DO MATO;MA;80;39;119;327.731.092.436.974.000;672.268.907.563.025.000
2891;MAMANGUAPE;PB;199;97;296;327.702.702.702.702.000;672.297.297.297.297.000
4199;RIBEIR«O DO SUL;SP;156;76;232;327.586.206.896.551.000;672.413.793.103.448.000
791;BROTAS DE MACAÈBAS;BA;78;38;116;327.586.206.896.551.000;672.413.793.103.448.000
5102;S÷TIO DO QUINTO;BA;78;38;116;327.586.206.896.551.000;672.413.793.103.448.000
823;CAAPOR«;PB;193;94;287;327.526.132.404.181.000;672.473.867.595.818.000
3997;PORTO REAL DO COLêGIO;AL;115;56;171;327.485.380.116.959.000;672.514.619.883.040.000
4599;SANTO ANT‚NIO DO TAUµ;PA;382;186;568;327.464.788.732.394.000;672.535.211.267.605.000
4881;S«O MIGUEL DOS MILAGRES;AL;191;93;284;327.464.788.732.394.000;672.535.211.267.605.000
4369;SANDOL∂NDIA;TO;76;37;113;327.433.628.318.584.000;672.566.371.681.415.000
790;BROTAS;SP;224;109;333;327.327.327.327.327.000;672.672.672.672.672.000
4207;RIBEIR‡POLIS;SE;111;54;165;327.272.727.272.727.000;672.727.272.727.272.000
2643;JUCURUTU;RN;74;36;110;327.272.727.272.727.000;672.727.272.727.272.000
2667;JURU;PB;74;36;110;327.272.727.272.727.000;672.727.272.727.272.000
2585;JEREMOABO;BA;111;54;165;327.272.727.272.727.000;672.727.272.727.272.000
4458;SANTA MARGARIDA DO SUL;RS;72;35;107;327.102.803.738.317.000;672.897.196.261.682.000
3991;PORTO GRANDE;AP;216;105;321;327.102.803.738.317.000;672.897.196.261.682.000
4909;S«O RAIMUNDO DO DOCA BEZERRA;MA;72;35;107;327.102.803.738.317.000;672.897.196.261.682.000
5369;TURIÈBA;SP;72;35;107;327.102.803.738.317.000;672.897.196.261.682.000
2837;LUZI∂NIA;GO;527;256;783;326.947.637.292.464.000;673.052.362.707.535.000
1115;CARDOSO;SP;140;68;208;326.923.076.923.076.000;673.076.923.076.923.000
2209;INDIAN‡POLIS;PR;105;51;156;326.923.076.923.076.000;673.076.923.076.923.000
5182;TANQUINHO;BA;140;68;208;326.923.076.923.076.000;673.076.923.076.923.000
5130;SUCUPIRA DO RIACH«O;MA;70;34;104;326.923.076.923.076.000;673.076.923.076.923.000
2183;ILHABELA;SP;338;164;502;326.693.227.091.633.000;673.306.772.908.366.000
3215;MOSS∂MEDES;GO;66;32;98;326.530.612.244.897.000;673.469.387.755.102.000
4085;QUATµ;SP;132;64;196;326.530.612.244.897.000;673.469.387.755.102.000
2928;MARACAÄUMê;MA;229;111;340;326.470.588.235.294.000;673.529.411.764.705.000
1003;CAMPOS NOVOS PAULISTA;SP;130;63;193;326.424.870.466.321.000;673.575.129.533.678.000
3302;NOSSA SENHORA DE NAZARê;PI;64;31;95;326.315.789.473.684.000;673.684.210.526.315.000
5481;VµRZEA;PB;64;31;95;326.315.789.473.684.000;673.684.210.526.315.000
2759;LARANJEIRAS;SE;159;77;236;326.271.186.440.677.000;673.728.813.559.322.000
3243;MURICI;AL;95;46;141;326.241.134.751.773.000;673.758.865.248.226.000
400;ARROIO DOS RATOS;RS;126;61;187;326.203.208.556.149.000;673.796.791.443.850.000
3641;PARIQUERA-AÄU;SP;219;106;325;326.153.846.153.846.000;673.846.153.846.153.000
3895;PIÈMA;ES;281;136;417;326.139.088.729.016.000;673.860.911.270.983.000
